email_id,relative_path,actual_label,pretraining_probability,posttraining_probability,pretraining_label,posttraining_label,notes,pretraining_description,posttraining_description
phishing_001,phishing/phishing_001.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confirm, fund | Money-transfer or inheritance language found",
phishing_002,phishing/phishing_002.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, fund, million, security, urgent | Money-transfer or inheritance language found",
phishing_003,phishing/phishing_003.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confidential, fund | Money-transfer or inheritance language found",
phishing_004,phishing/phishing_004.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, security, transaction | Multiple contact email addresses found in message",
phishing_005,phishing/phishing_005.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, investment, million, security | Money-transfer or inheritance language found",
phishing_006,phishing/phishing_006.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, fund, million, security | Money-transfer or inheritance language found",
phishing_007,phishing/phishing_007.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: million, security, transaction, transfer, usd | Money-transfer or inheritance language found",
phishing_008,phishing/phishing_008.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confidential, fund | Money-transfer or inheritance language found",
phishing_009,phishing/phishing_009.html,1,0.250000,,legitimate,,,"Model files not loaded; using simple rule score only. | Risky words found: bank, security",
phishing_010,phishing/phishing_010.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: bank, fund, million, security, transfer | Money-transfer or inheritance language found",
phishing_011,phishing/phishing_011.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: bank, confidential, fund, million, next of kin | Money-transfer or inheritance language found",
phishing_012,phishing/phishing_012.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: bank, beneficiary, confidential, fund, security | Money-transfer or inheritance language found",
phishing_013,phishing/phishing_013.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, million, security, transfer | Money-transfer or inheritance language found",
phishing_014,phishing/phishing_014.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, beneficiary, fund, million, security | Money-transfer or inheritance language found",
phishing_015,phishing/phishing_015.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, confidential, fund, million, next of kin | Money-transfer or inheritance language found",
phishing_016,phishing/phishing_016.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confidential, next of kin | Money-transfer or inheritance language found",
phishing_017,phishing/phishing_017.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, fund, million, security, transaction | Money-transfer or inheritance language found",
phishing_018,phishing/phishing_018.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confidential, fund, million | Money-transfer or inheritance language found",
phishing_019,phishing/phishing_019.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confidential, fund, investment | Money-transfer or inheritance language found",
phishing_020,phishing/phishing_020.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confidential, fund | Money-transfer or inheritance language found",
phishing_021,phishing/phishing_021.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, confidential, fund, million, security | Money-transfer or inheritance language found",
phishing_022,phishing/phishing_022.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confidential, million, next of kin | Money-transfer or inheritance language found",
phishing_023,phishing/phishing_023.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: bank, investment, million, security, transfer | Money-transfer or inheritance language found",
phishing_024,phishing/phishing_024.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, million, next of kin, security, transaction | Money-transfer or inheritance language found",
phishing_025,phishing/phishing_025.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, million, next of kin, security | Advance-fee scam wording pattern found",
phishing_026,phishing/phishing_026.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, confidential, confirm, fund, investment | Money-transfer or inheritance language found",
phishing_027,phishing/phishing_027.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confirm, fund, million | Money-transfer or inheritance language found",
phishing_028,phishing/phishing_028.html,1,0.250000,,legitimate,,,"Model files not loaded; using simple rule score only. | Risky words found: security, urgent",
phishing_029,phishing/phishing_029.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, investment, security, transaction, transfer | Money-transfer or inheritance language found",
phishing_030,phishing/phishing_030.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confidential, fund, investment | Money-transfer or inheritance language found",
phishing_031,phishing/phishing_031.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, confidential, fund, million | Money-transfer or inheritance language found",
phishing_032,phishing/phishing_032.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, bank, beneficiary, confidential, fund | Money-transfer or inheritance language found",
phishing_033,phishing/phishing_033.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, beneficiary, investment, security, transaction | Money-transfer or inheritance language found",
phishing_034,phishing/phishing_034.html,1,0.950000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: confidential, fund, investment, security, usd | Money-transfer or inheritance language found",
phishing_035,phishing/phishing_035.html,1,0.750000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: beneficiary, confidential, fund, security, transaction | Money-transfer or inheritance language found",
phishing_036,phishing/phishing_036.html,1,0.500000,,phishing,,,"Model files not loaded; using simple rule score only. | Risky words found: assist, beneficiary, investment, million, security | Money-transfer or inheritance language found",
