email_id,relative_path,actual_label,pretraining_probability,posttraining_probability,pretraining_label,posttraining_label,notes,pretraining_description,posttraining_description
phishing_001,phishing/phishing_001.html,1,0.450000,0.630395,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, beneficiary, confirm, investment | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, beneficiary, confirm, investment | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_002,phishing/phishing_002.html,1,0.450000,0.736440,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, million, security, urgent, usd | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, million, security, urgent, usd | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_003,phishing/phishing_003.html,1,0.450000,0.831535,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_004,phishing/phishing_004.html,1,0.300000,0.766842,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: security, transaction | Heuristic pattern match: multiple contact email addresses in the message","Heuristic keyword match: security, transaction | Heuristic pattern match: multiple contact email addresses in the message"
phishing_005,phishing/phishing_005.html,1,0.300000,0.608555,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: investment, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: investment, security | Heuristic pattern match: money-transfer / inheritance wording"
phishing_006,phishing/phishing_006.html,1,0.450000,0.658149,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Known suspicious legacy footer marker found"
phishing_007,phishing/phishing_007.html,1,0.450000,0.608553,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: million, security, transaction, transfer, usd | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: million, security, transaction, transfer, usd | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_008,phishing/phishing_008.html,1,0.450000,0.817104,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_009,phishing/phishing_009.html,1,0.150000,0.655246,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, security","Heuristic keyword match: bank, security"
phishing_010,phishing/phishing_010.html,1,0.300000,0.819161,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording"
phishing_011,phishing/phishing_011.html,1,0.450000,0.812183,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, confidential, fund, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, confidential, fund, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_012,phishing/phishing_012.html,1,0.450000,0.661413,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, security, transfer | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, security, transfer | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_013,phishing/phishing_013.html,1,0.450000,0.731428,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, million, security, transfer, urgent | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, million, security, transfer, urgent | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_014,phishing/phishing_014.html,1,0.450000,0.741746,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, beneficiary, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, beneficiary, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_015,phishing/phishing_015.html,1,0.450000,0.686589,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_016,phishing/phishing_016.html,1,0.450000,0.841784,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_017,phishing/phishing_017.html,1,0.450000,0.673210,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, million, security, transaction, urgent | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, million, security, transaction, urgent | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_018,phishing/phishing_018.html,1,0.450000,0.714954,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_019,phishing/phishing_019.html,1,0.450000,0.792027,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, confidential, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, confidential, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
